HostName,Redshift,SNName,Type,Offset,Av,NUVmag,,umag,,gmag,,rmag,,imag,,zmag,,ymag,,Jmag,,Hmag,,Kmag,,W1mag,,W2mag,
GALEXMSC J051147.86-401142.5,---,ASASSN-18aa,Ia,0.84,0.101,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16.592,0.056,16.58,0.158
IC 4836,0.015634,ASASSN-18aac,Unk,16.47,0.185,15.524,0.0162,---,---,---,---,---,---,---,---,---,---,---,---,11.017,0.035,10.275,0.052,10.033,0.062,11.755,0.024,11.615,0.023
LCRS B014013.3-453958,0.062497,ASASSN-18aaf,Ia,4.31,unk,19.5911,0.0564,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.753,0.031,14.575,0.048
2MASS J11252566-0827587,---,ASASSN-18aah,Ia,0.8,0.057,19.2697,0.0535,18.11,0.022,17.56870079,0.003411,17.14609909,0.003184,16.92650032,0.003871,16.85140038,0.005453,16.80060005,0.010713,---,---,---,---,---,---,14.786,0.033,14.562,0.058
ESO 564-G 014,0.018653,ASASSN-18aai,Ia,72.67,0.645,20.6899,0.2179,---,---,14.94989967,0.00115,14.0766,0.000719,13.79940033,0.000677,13.29829979,0.000745,13.19410038,0.001416,11.748,0.024,11.025,0.031,10.711,0.055,11.089,0.023,11.138,0.021
LCRS B234528.8-451528,0.062577,ASASSN-18aaj,Ia,1.03,unk,18.7058,0.0807,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.075,0.026,13.847,0.035
2MASX J00025583-2654505,0.066586,ASASSN-18aar,Ia,0.52,0,---,---,---,---,15.93360043,0.002426,15.10540009,0.001594,14.73279953,0.001107,14.53439999,0.002535,14.24129963,0.002963,13.241,0.042,12.506,0.055,12.16,0.069,12.371,0.024,12.353,0.024
WISEA J015651.38-674354.1,'---,ASASSN-18aax,Ia,26.9,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.954,0.041,15.518,0.07
NGC 1329,0.01458,ASASSN-18aay,Ia,102.68,0.097,16.3982,0.0233,---,---,13.51039982,0.000543,12.73040009,0.000336,12.37049961,0.000254,12.19729996,0.000458,12.06280041,0.000767,10.648,0.022,9.981,0.03,9.721,0.045,10.664,0.023,10.709,0.02
LCRS B005521.0-420840,0.024517,ASASSN-18ab,Unk,5.6,unk,18.0059,0.0236,---,---,---,---,---,---,---,---,---,---,---,---,14.641,0.077,13.969,0.092,13.804,0.149,14.24,0.039,14.105,0.049
GALEXASC J020217.47-135638.3,---,ASASSN-18aba,II,3.73,0,19.0697,0.0882,18.676,0.051,17.53619957,0.005482,17.17379951,0.004505,17.01399994,0.005284,16.93919945,0.006985,16.97019958,0.0145,---,---,---,---,---,---,14.853,0.034,14.695,0.056
ESO 292-IG 012 NED01,0.061276,ASASSN-18abd,Unk,0.75,unk,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.446,0.044,12.676,0.05,12.292,0.074,12.408,0.023,12.354,0.023
